年份,城市,省份,省份代码,城市代码,地区生产总值(万元),"常住人口
(万人)","户籍人口数
(万人)","行政区域土地面积
(平方公里)",进出口总额（百万人民币）,出口总额(百万人民币),进口总额(百万人民币),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),普通高等学校在校学生数(万人),互联网宽带接入用户(万人）),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),"一般公共预算支出_教育
(万元)","一般公共预算
支出_科学技术(万元)","一般公共预算支出
(万元)","一般公共
预算收入
(万元)","移动电话年末用户数
(万户)"
2000,北京市,北京市,110000,110000,32779000.0,1363.6,1113.5263,16808,408956.323199341,99085.4800127712,309870.84318657,793000.0,10237000.0,21749000.0,0.0241923182525397,0.312303609017969,0.663504072729491,28.03,,86857258.0,137457223.0,600700.0,270741.8265,4430000.0,3450000.0,461.0
2001,北京市,北京市,110000,110000,38616000.0,1385.1,1127.893,16800,426249.655802412,97439.841441057,328809.814361355,808000.0,11272000.0,26536000.0,0.020923969339134,0.291899730681583,0.687176299979283,33.65,1090.0,96851287.0,156924699.0,722600.0,315404.8948,5591100.0,4541700.0,629.0
2002,北京市,北京市,110000,110000,45257000.0,1423.2,1142.8302,16800,434581.014100474,104403.69494762,330177.319152854,824000.0,12351000.0,32082000.0,0.0182071281790662,0.272908058421902,0.708884813399032,39.57,3229.327,107998081.0,179218779.0,858200.0,368295.1784,6283500.0,5339900.0,920.0
2003,北京市,北京市,110000,110000,52672000.0,1456.4,1154.0633,16800,566975.904532407,139772.222474247,427203.68205816,841000.0,14564000.0,37267000.0,0.015966737545565,0.276503645200486,0.707529617253949,45.45,3980.0,120430934.0,204759796.0,988200.0,431075.8457,7348000.0,5925400.0,1109.0
2004,北京市,北京市,110000,110000,62525000.0,1492.7,1167.7592,16800,782784.35946331,170247.620320366,612536.739142944,854000.0,17737000.0,43934000.0,0.0136585365853659,0.283678528588565,0.70266293482607,49.95,3134.3425,135774452.0,237813488.0,1213900.0,505774.7624,8982800.0,7444900.0,1336.0
2005,北京市,北京市,110000,110000,71498000.0,1538.0,1184.1423,16410,1028110.98388426,252844.19823173,775266.78565253,869000.0,19074000.0,51555000.0,0.0121541861310806,0.266776693054351,0.721069120814568,54.83,2288.685,153354632.0,289700120.0,1458700.0,594870.4976,10583100.0,9192100.0,1460.0
2006,北京市,北京市,110000,110000,83870000.0,1601.0,1197.6,16411,1259836.38883438,302561.526412157,957274.862422224,872000.0,20721000.0,62277000.0,0.0103970430428043,0.247060927626088,0.742542029331108,56.58,2811.683,148848355.0,303732938.0,1751800.0,701400.0,12968400.0,11171500.0,1571.0
2007,北京市,北京市,110000,110000,104256000.0,1676.0,1213.3,16411,1467570.18269723,372036.299626216,1095533.88307101,994000.0,24134000.0,79128000.0,0.00953422344996931,0.231487875997545,0.758977900552486,57.82,3471.529,171510538.0,342862942.0,2630000.0,907400.0,16495000.0,14926400.0,1598.0
2008,北京市,北京市,110000,110000,118132000.0,1771.0,1229.9,16411,1886934.35083082,399340.533285233,1487593.81754559,1114000.0,25267000.0,91751000.0,0.00943012900822808,0.213887854264721,0.776682016727051,58.56,3826.884,192811049.0,405126722.0,3163000.0,1121900.0,19592900.0,18373200.0,1616.0
2009,北京市,北京市,110000,110000,129009000.0,1860.0,1245.8255,16411,1467237.5170497,330333.9843672,1136903.5326825,1168000.0,27364000.0,100477000.0,0.00905363191715307,0.212109232689192,0.778837135393655,58.67,4516.851,243649662.0,527302569.0,3656700.0,1263100.0,23193700.0,20268100.0,1825.0
2010,北京市,北京市,110000,110000,149640000.0,1961.9,1257.7973,16411,2042096.10546434,375297.145925383,1666798.95953896,1228000.0,32331000.0,116081000.0,0.00820636193531141,0.216058540497193,0.775735097567495,58.71,5455.639,281750343.0,620418389.0,4502200.0,1789200.0,27173200.0,23539300.0,2118.0
2011,北京市,北京市,110000,110000,171888000.0,2023.8,1277.9233,16411,2516239.57134625,381054.354467576,2135185.21687867,1345000.0,35633000.0,134910000.0,0.00782486270129387,0.207303593037327,0.78487154426138,58.79,5233.645,317912891.0,698838733.0,5200800.0,1830700.0,32452300.0,30062800.0,2576.0
2012,北京市,北京市,110000,110000,190247000.0,2077.5,1297.4597,16411,2576177.66927175,376427.784006188,2199749.88526556,1484000.0,38560000.0,150203000.0,0.00780038581423097,0.202683879377861,0.789515734807908,59.12,5719.603,345179846.0,778760000.0,6286500.0,1999400.0,36853100.0,33149300.0,3168.0
2013,北京市,北京市,110000,110000,211346000.0,2125.4,1316.3354,16411,2662714.9015537,390775.852662811,2271939.04889089,1598000.0,41683000.0,168065000.0,0.00756106100896161,0.197226349209353,0.795212589781685,59.89,5346.979,382214492.0,837612980.0,6811800.0,2346700.0,41736600.0,36611100.0,3374.0
2014,北京市,北京市,110000,110000,229261000.0,2171.1,1333.4004,16411,2552567.47086571,382917.410017874,2169650.06084784,1592000.0,44330000.0,183339000.0,0.00694405066714356,0.193360405825675,0.799695543507182,60.46,5530.0,424452990.0,905458756.0,7420500.0,2827100.0,45246700.0,40271600.0,4076.0
2015,北京市,北京市,110000,110000,247791000.0,2188.3,1345.2653,16411,1989451.610944,340480.281868,1648971.329076,1404000.0,44198000.0,202189000.0,0.0056660653534632,0.178368060179748,0.815965874466789,60.36,4917.0,488531687.0,1222842876.0,8556700.0,2878000.0,57377000.0,47238600.0,4052.0
2016,北京市,北京市,110000,110000,270412900.0,2195.4,1362.8628,16411,1875648.422928,345531.250386,1530117.172542,1297900.0,46658000.0,222457000.0,0.0047996970558727,0.172543543595738,0.822656759348389,59.92,4755.0,566188715.0,1327919063.0,8873700.0,2857800.0,64067700.0,50812600.0,3869.0
2017,北京市,北京市,110000,110000,298830000.0,2194.4,1359.1948,16406,2185696.59145101,395000.862701425,1790695.72874959,1219000.0,50494000.0,247117000.0,0.00407924237860991,0.168972325402403,0.826948432218987,59.29,5416.0,633825000.0,1379521000.0,9646200.0,3617600.0,68245300.0,54307900.0,3752.0
2018,北京市,北京市,110000,110000,331059700.0,2191.7,1375.826,16406,2729189.51743929,490814.214421246,2238375.30301804,1205600.0,54773500.0,275080600.0,0.0036416392572095,0.165449011160223,0.830909349582568,59.49,6347.0,704836718.0,1570922324.0,10255100.0,4258700.0,74714300.0,57859200.0,4009.0
2019,北京市,北京市,110000,110000,354451600.0,2190.1,1392.0957,16410,2871680.0066955,517729.38966,2353950.6170355,1143800.0,56674000.0,296633800.0,0.0032269567974866,0.159892069890501,0.836880973312012,60.15,6885.455,735759400.0,1643494898.0,11371800.0,4334200.0,74081900.0,58171000.0,4020.0
2020,北京市,北京市,110000,110000,359433000.0,2189.31,1395.4758,16410,2310970.06823825,462238.815822062,1848731.25241619,1083000.0,57391000.0,300959000.0,0.00301307893265226,0.159670926153136,0.837315994914212,59.0,7478.096,810351930.0,1811055634.0,11382900.0,4109600.0,71161800.0,54838900.0,3996.0
2021,北京市,北京市,110000,110000,410456000.0,2188.6,1408.7582,16410,3038812.85233476,610579.431731016,2428233.42060374,1114000.0,73890000.0,335452000.0,0.00271405461243105,0.180019295612684,0.817266649774885,59.6,8063.0,860775028.0,1921043104.0,11478300.0,4494500.0,72051200.0,59323100.0,3972.0
2022,北京市,北京市,110000,110000,415408000.0,2184.3,1425.6206,16410,3675807.73707876,593044.32353622,3082763.41354254,1115000.0,66356000.0,347937000.0,0.00268410815391134,0.159736933328198,0.837578958517891,60.3,8773.0,954968928.0,2124467258.0,11711200.0,4887000.0,74691500.0,57143600.0,3927.0
2023,北京市,北京市,110000,110000,437607000.0,2185.8,1427.0023,16410,3655441.03604755,600890.774975443,3054550.26107211,1055000.0,65256000.0,371296000.0,0.00241083894910273,0.149120100912463,0.848469060138435,61.8,9334.0,1086011627.0,2404386126.0,12279000.0,5219100.0,79712500.0,61811000.0,4021.0
2024,北京市,北京市,110000,110000,498431000.0,2183.2,1436.84817852471,16410,3608352.2256,606548.3563,3001803.8693,1164000.0,72268000.0,424999000.0,0.00233532826008013,0.144990981700576,0.852673690039343,63.4,1978.4,1171777696.09029,2519675361.90569,12471500.0,5652000.0,83964800.0,63726800.0,4021.1
2000,天津市,天津市,120000,120000,15916700.0,1001.14,918.7106,11920,345194.783328861,174128.162978318,171066.620350543,736900.0,7947500.0,7232300.0,0.0462972852412875,0.499318326034919,0.454384388723793,11.77,,23779385.0,25264904.0,308700.0,100351.1347,1870500.0,1336100.0,159.0
2001,天津市,天津市,120000,120000,17568900.0,1004.06,923.7475,11920,347632.114487502,176616.365138166,171015.749349336,787300.0,8587600.0,8194000.0,0.0448121396331017,0.488795542122728,0.46639231824417,15.4,1090.0,26723141.0,29382628.0,362600.0,108346.4466,2346700.0,1636400.0,214.0
2002,天津市,天津市,120000,120000,19268700.0,1007.18,926.9867,11920,344681.670788062,173536.84292475,171144.827863312,842100.0,9314600.0,9112000.0,0.0437030002024008,0.483405730537089,0.472891269260511,19.69,3229.327,30180075.0,34339146.0,415700.0,118160.2313,2652100.0,2097000.0,306.0
2003,天津市,天津市,120000,120000,22578100.0,1011.3,932.1629,11920,347678.858202035,177314.106928914,170364.751273121,899100.0,11376000.0,10303000.0,0.0398217741971202,0.503851076928528,0.456327148874352,24.52,3980.0,34260200.0,40335100.0,475800.0,130335.9968,3120800.0,2045300.0,383.0
2004,天津市,天津市,120000,120000,26210800.0,1023.67,938.4729,11920,347786.832064,172699.073792,175087.758272,1052800.0,13483000.0,11675000.0,0.040166648862301,0.51440627527584,0.445427075861858,28.57,3134.3425,38385900.0,47502800.0,554000.0,145626.669,3750200.0,2461800.0,423.0
2005,天津市,天津市,120000,120000,31585800.0,1042.53,942.9949,11920,437327.175054,224573.489492,212753.685562,1123800.0,16305000.0,14157000.0,0.0355792792963927,0.516212981782953,0.448207738920654,33.16,2288.685,44174500.0,56844000.0,672000.0,165094.6053,4421200.0,3318500.0,503.0
2006,天津市,天津市,120000,120000,35381500.0,1075.0,948.89,11917,514761.84563,267372.97623,247388.8694,1033500.0,18345000.0,16003000.0,0.0292101804615406,0.518491301951585,0.452298517586875,35.74,2811.683,51069400.0,65319400.0,815800.0,190269.0557,5431200.0,4170500.0,602.0
2007,天津市,天津市,120000,120000,41583700.0,1115.0,959.1,11760,544064.75524,290177.91688,253886.83836,1074700.0,21236000.0,19273000.0,0.0258442610926878,0.510680867743852,0.463474871163461,37.11,3471.529,65438300.0,82420700.0,1100200.0,223400.0,6743300.0,5404400.0,738.0
2008,天津市,天津市,120000,120000,51824000.0,1176.0,968.87,11760,559350.644939,293285.878018,266064.766921,1166000.0,26597000.0,24061000.0,0.0224992281568385,0.513217814140167,0.464282957702995,38.64,3826.884,76891200.0,99541600.0,1417000.0,286500.0,8677200.0,6756200.0,817.0
2009,天津市,天津市,120000,120000,57095300.0,1228.16,979.84,11760,436802.48865,204830.40402,231972.08463,1195300.0,28087000.0,27813000.0,0.0209351732979772,0.491931910332374,0.487132916369649,40.6,4516.851,111521900.0,138871100.0,1736100.0,340000.0,11242800.0,8219900.0,993.0
2010,天津市,天津市,120000,120000,68307100.0,1299.29,984.85,11760,556458.18021,253973.159265,302485.020945,1317100.0,32597000.0,34393000.0,0.019282036567209,0.477212471324357,0.503505492108434,42.92,5455.639,137741100.0,164992500.0,2295600.0,432500.0,13768400.0,10688100.0,1090.0
2011,天津市,天津市,120000,120000,81125500.0,1341.0,996.4358,11760,667782.242916,287403.165696,380379.07722,1411000.0,37563000.0,42151500.0,0.0173928049750079,0.463023340380028,0.519583854644964,44.97,5233.645,148977200.0,169105200.0,3023200.0,601700.0,17963300.0,14551300.0,1235.0
2012,天津市,天津市,120000,120000,90430000.0,1378.0,993.2,11760,729870.1875,304982.125,424888.0625,1479000.0,41340000.0,47611000.0,0.016355191861108,0.457149176158355,0.526495631980537,47.31,5719.603,173920600.0,196756800.0,3787500.0,764500.0,21432100.0,17600200.0,1303.0
2013,天津市,天津市,120000,120000,99454400.0,1410.0,1003.97,11917,795999.6096,303621.63,492377.9796,1547900.0,44071000.0,53835500.0,0.0155639167296771,0.443127704757155,0.541308378513168,48.99,5346.979,194533091.0,226845862.0,4613600.0,928100.0,25492100.0,20790700.0,1323.0
2014,天津市,天津市,120000,120000,106406200.0,1429.0,1016.66,11917,822600.7764,323092.8516,499507.9248,1588200.0,46155000.0,58663000.0,0.0149258219915757,0.433762318361148,0.551311859647276,50.58,5530.0,217159863.0,239594223.0,5170100.0,1090000.0,28847000.0,23903500.0,1352.0
2015,天津市,天津市,120000,120000,108795100.0,1439.0,1026.8965,11917,712198.8548,318788.1972,393410.6576,1623100.0,44896000.0,62276000.0,0.0149188704270689,0.412665643949038,0.572415485623893,51.29,4917.0,245009122.0,271459275.0,5074400.0,1208200.0,32323500.0,26671100.0,1406.0
2016,天津市,天津市,120000,120000,114772600.0,1443.0,1044.4032,11917,681838.7373,294160.8978,387677.8395,1684600.0,43680000.0,69408000.0,0.0146777192465798,0.380578639849581,0.604743640903839,51.38,4755.0,273679661.0,290413611.0,5024900.0,1251800.0,36994300.0,27235000.0,1500.0
2017,天津市,天津市,120000,120000,124505600.0,1410.0,1049.9909,11917,762588.8028,294142.167,468446.6358,1689600.0,45641000.0,77175000.0,0.0135704739385216,0.366577888866043,0.619851637195435,51.47,5416.0,301030457.0,297461601.0,4345900.0,1159900.0,32825400.0,23103600.0,1580.0
2018,天津市,天津市,120000,120000,133629200.0,1383.0,1081.6263,11760,810710.9088,322902.6504,487808.2584,1753000.0,48353000.0,83523200.0,0.0131183902919422,0.361844566906036,0.625037042802022,52.33,6347.0,325394250.0,299105294.0,4481900.0,1066800.0,31031600.0,21062400.0,1680.0
2019,天津市,天津市,120000,120000,140555000.0,1385.0,1105.0381,11967,735690.5325,302112.909,433577.6235,1854000.0,49472000.0,89229000.0,0.0131905659706165,0.351976094767173,0.634833339262211,53.94,6885.455,348740384.0,306998030.0,4676300.0,1099300.0,35557100.0,24104100.0,1705.0
2020,天津市,天津市,120000,120000,140080000.0,1386.84,1130.6769,11953,730672.5729384,305977.78845216,424694.78448624,2103000.0,49118000.0,88859000.0,0.0150128498001142,0.350642490005711,0.634344660194175,57.22,7478.096,376904382.0,330376393.0,4429100.0,1181700.0,31513500.0,19231100.0,1725.0
2021,天津市,天津市,120000,120000,156851000.0,1373.0,1151.5573,11954,836598.2625,382444.92,454153.3425,2659000.0,56727000.0,97465000.0,0.016952394310524,0.361661704420118,0.621385901269358,58.34,8063.0,400433925.0,347009481.0,4792500.0,1039700.0,31525500.0,21410600.0,1745.0
2022,天津市,天津市,120000,120000,161322000.0,1363.0,1161.3028,11954,836726.84,377213.1402,459513.6998,2732000.0,59823000.0,98767000.0,0.0169350739514759,0.370829769033362,0.612235157015162,59.45,8773.0,416503164.0,393426689.0,4789400.0,621600.0,27298300.0,18466900.0,1810.0
2023,天津市,天津市,120000,120000,167373200.0,1364.0,1176.2596,11954,802541.6163,364138.2225,438403.3938,2685000.0,59826200.0,104862000.0,0.0160419947757467,0.357441932161182,0.626516073063071,59.66,9334.0,436656470.0,434299020.0,4917900.0,770300.0,32804200.0,20275100.0,1908.0
2024,天津市,天津市,120000,120000,180243200.0,1364.0,1192.76752023129,11954,811560.4502,391374.6334,420185.8168,2842800.0,62142700.0,115257700.0,0.0157720235770337,0.344771397755921,0.639456578667045,60.54,1978.4,462028200.0,473584300.0,4999900.0,676000.0,36207000.0,21337000.0,1964.2
2000,石家庄市,河北省,130000,130100,10031100.0,924.18,889.8,15848,6291.584,4221.984,2069.6,1468800.0,4662200.0,3900100.0,0.146424619433562,0.464774551145936,0.388800829420502,7.4,,9522136.0,13617237.0,104683.2904,13765.1704,502500.0,377137.0,57.0
2001,石家庄市,河北省,130000,130100,10854200.0,931.544,895.94,15848,7805.211,5827.008,1978.203,1536300.0,5018700.0,4299200.0,0.141539680492344,0.462374011903226,0.39608630760443,14.638764852672,1090.0,10768971.0,15301828.0,123425.7381,15496.7897,597200.0,443554.0,76.0
2002,石家庄市,河北省,130000,130100,11868100.0,938.908,903.99,15848,9410.8353,7374.7179,2036.1174,1559500.0,5594100.0,4714500.0,0.131402667655311,0.471355987900338,0.397241344444351,15.1413031318444,3229.327,12179240.0,17195060.0,146034.5202,17446.683,688700.0,444947.0,91.0
2003,石家庄市,河北省,130000,130100,13779400.0,946.272,910.51,15848,13988.13,11173.95,2814.18,1880700.0,6647900.0,5250800.0,0.136486349187918,0.482452066127698,0.381061584684384,15.7122731165975,3980.0,13774386.0,19322801.0,173404.0,19642.4195,802300.0,493429.0,216.0
2004,石家庄市,河北省,130000,130100,16334594.0,953.636,917.55,15848,30321.891264,23876.416032,6445.475232,2304590.0,7942853.0,6087151.0,0.141086457367719,0.486259591147475,0.372653951484806,16.363217199147,3134.3425,14748123.0,22088668.0,204151.0,22115.0579,929700.0,561644.0,259.0
2005,石家庄市,河北省,130000,130100,17867750.0,961.0,927.3,15848,36248.2315415,30483.4865005,5764.745041,2477608.0,8656600.0,6733542.0,0.138663681773027,0.484481817800227,0.376854500426747,17.1081277377603,2288.685,15610128.0,25741536.0,240891.0,24899.5883,1081600.0,658796.0,337.0
2006,石家庄市,河北省,130000,130100,20266320.0,970.0,939.5,15848,33349.0846276,27116.9227108,6232.1619168,2574895.0,9799722.0,7891703.0,0.127052913405098,0.483547185675544,0.389399900919358,17.9640853394168,2811.683,17315170.0,19684219.0,268570.0,28035.4314,1282500.0,773736.0,376.0
2007,石家庄市,河北省,130000,130100,23607230.0,978.08,955.05,15848,39007.07524,31551.915936,7455.159304,2757361.0,11644087.0,9205782.0,0.116801547661458,0.493242409211076,0.389956043127466,18.9520946092577,3471.529,18393687.0,33313230.0,402666.0,31567.0,1631700.0,958720.0,506.0
2008,石家庄市,河北省,130000,130100,27235531.0,984.6,966.48,15848,48543.7418189,38867.5784753,9676.1633436,3041224.0,13652535.0,10541772.0,0.111663840884909,0.501276622805702,0.387059536309389,20.0981882183259,3826.884,20799329.0,41115626.0,491523.0,40922.0,1937900.0,1100366.0,550.0
2009,石家庄市,河北省,130000,130100,30012797.0,988.11,977.41,15848,37628.29026,29432.66139,8195.62887,3083111.0,14879145.0,12050541.0,0.102726546945958,0.495760025298542,0.4015134277555,21.43489917379,4516.851,28865696.0,51630561.0,612552.0,38732.0,2409200.0,1259614.0,612.0
2010,石家庄市,河北省,130000,130100,34010186.0,1017.52,989.16,15848,74289.197028,39220.6484655,35068.5485625,3696054.0,16537569.0,13776563.0,0.10867491286287,0.486253412433557,0.405071674703573,23.0032436428218,5455.639,32720979.0,61158028.0,700086.0,45021.0,3051600.0,1636303.0,694.0
2011,石家庄市,河北省,130000,130100,40826833.0,1027.98,997.3,15848,91511.6498936,45734.472154,45777.1777396,4149966.0,20318979.0,16357888.0,0.101648001940293,0.497686876667607,0.4006651213921,24.8554195403537,5233.645,36597860.0,67153408.0,875153.0,63205.0,4035400.0,2212284.0,808.0
2012,石家庄市,河北省,130000,130100,45002098.0,1038.6,1005.3,15848,81742.544625,46319.950875,35422.59375,4521822.0,22406625.0,18073651.0,0.100480248720849,0.497901786712255,0.401617964566896,27.0585203045975,5719.603,39950667.0,76407468.0,1092790.0,75058.0,4640900.0,2722764.0,895.0
2013,石家庄市,河北省,130000,130100,49136576.0,1049.98,1003.2,15848,86696.9717952,44084.8945368,42612.0772584,4739686.0,23328099.0,21068791.0,0.0964594276980146,0.474760369953332,0.428780202348654,29.6997063667674,5346.979,45120155.0,86077828.0,1161551.0,80065.0,5229400.0,3151233.0,979.0
2014,石家庄市,河北省,130000,130100,51702653.0,1061.62,1024.9,13109,87858.072708,47852.52625608,40005.54645192,4875136.0,24175055.0,22652462.0,0.0942917958194524,0.467578617290683,0.438129586889864,32.893497167821,5530.0,50989204.0,91246125.0,1200899.0,72908.0,5664900.0,3434745.0,1038.0
2015,石家庄市,河北省,130000,130100,54405988.0,1070.16,1028.84,13056,75607.2700944,45620.02977972,29987.24031468,4944377.0,24523951.0,24937660.0,0.0908792796851699,0.450758306236439,0.458362414078392,36.7921909369898,4917.0,51241043.0,98001484.0,1361602.0,90482.0,6823900.0,3750529.0,1071.0
2016,石家庄市,河北省,130000,130100,59277293.0,1078.46,1038.0,13056,77088.0894336,46636.4982951,30451.5911385,4808781.0,26939187.0,27529325.0,0.0811234919246397,0.454460479495918,0.464416028579443,41.6009660656209,4755.0,51758900.0,110779000.0,1591856.0,122300.0,7461200.0,4107238.0,1170.0
2017,石家庄市,河北省,130000,130100,59422284.0,1087.99,1036.75,14060,85945.485186,52911.290916,33034.19427,3946293.0,24794702.0,30681289.0,0.0664109949055476,0.417262688859284,0.516326316235169,47.6,5416.0,89249839.0,117029683.0,1676709.0,100610.0,8067300.0,4608886.0,1265.0
2018,石家庄市,河北省,130000,130100,53750885.0,1095.16,1045.1,15848,91850.7860678742,57396.3495582432,34454.436509631,4204731.0,17322871.0,32223283.0,0.0782262654838148,0.322280665704388,0.599493068811797,62.2,6347.0,100950559.0,132251558.0,1971155.0,118720.0,9916100.0,5196778.0,1376.0
2019,石家庄市,河北省,130000,130100,58098963.0,1103.12,1052.0,15848,117875.63,65513.23,52362.4,4494951.0,18002115.0,35601897.0,0.077367146811209,0.309852604426003,0.612780248762788,66.55,6885.455,113418631.0,149567778.0,2144377.0,123373.0,10513900.0,5691283.0,1403.0
2020,石家庄市,河北省,130000,130100,59331682.0,1124.15,1049.51,16778,133470.811142122,78060.0521729808,55410.7589691408,4986231.0,18130998.0,36214453.0,0.0840399400778828,0.305587122913522,0.610372937008595,70.9,7478.096,130752743.0,164882790.0,2185270.0,152812.0,11422300.0,6321928.0,1416.0
2021,石家庄市,河北省,130000,130100,64903056.0,1120.47,1051.0,16544,147289.480550273,85587.611326074,61701.8692241985,5047907.0,21259754.0,38595395.0,0.0777761065673086,0.327561679067932,0.59466221436476,77.11,8063.0,145786780.0,178101845.0,2269961.0,153639.0,11527400.0,6813580.0,1428.0
2022,石家庄市,河北省,130000,130100,70808124.0,1122.35,1054.0,16601,115387.233483377,72158.1028159257,43229.1306674511,5579889.0,22472875.0,42755360.0,0.0788029492209114,0.317377071026483,0.603819979752606,83.1693750471012,8773.0,161374214.0,205992208.0,2489270.0,214508.0,12504300.0,6921599.0,1450.0
2023,石家庄市,河北省,130000,130100,75342000.0,1123.35,1056.35144125302,16587,124310.330536802,77533.5618004332,46776.7687363686,5769000.0,23092000.0,46481000.0,0.0765708369833559,0.306495712882589,0.616933450134055,89.1276509561468,9334.0,180869991.0,231239891.0,2551176.0,255005.0,12748300.0,7379000.0,1493.0
2024,石家庄市,河北省,130000,130100,82034000.0,1124.66,1058.56873564738,16587,131924.7507,81053.2067,50871.544,5743000.0,23690000.0,52601000.0,0.0700075578418704,0.288782699856157,0.641209742301972,94.9505566748927,1978.4,196315000.0,253331000.0,2695083.5396,287153.7015,12747000.0,7461000.0,1539.6
2000,唐山市,河北省,130000,130200,8222024.0,704.04,699.7895,13472,4038.037952,2829.308768,1208.729184,1733233.0,3972562.0,2516229.0,0.210803690186261,0.483161080531996,0.306035229281744,3.0,,5493712.0,6154484.0,70617.1247,31087.2752,404974.0,279330.0,62.0
2001,唐山市,河北省,130000,130200,9849162.0,708.432,700.1473,13472,4379.85732,2698.302,1681.55532,1796219.0,4994223.0,3058720.0,0.182372774455329,0.507070855368203,0.310556370176468,3.1109,1090.0,5970353.0,7395705.0,86461.9329,30057.5036,521851.0,357866.0,78.0
2002,唐山市,河北省,130000,130200,10745337.0,712.824,702.6682,13472,6074.830755,3182.550819,2892.279936,1870992.0,5512055.0,3362290.0,0.174121295590822,0.512971812796565,0.312906891612613,4.4046,3229.327,6525629.0,8910530.0,106338.952,31221.6025,596014.0,346721.0,108.0
2003,唐山市,河北省,130000,130200,11167992.0,717.216,706.2834,13472,8529.94512,3705.36459,4824.58053,1937415.0,5898088.0,3332489.0,0.173479261088296,0.528124303813971,0.298396435097733,5.3935,3980.0,7176364.0,10764149.0,131388.0,29911.6729,729967.0,414259.0,166.0
2004,唐山市,河北省,130000,130200,14151509.0,721.608,710.0722,13472,15027.440848,7428.676304,7598.764544,2133918.0,7618685.0,4398906.0,0.150790844990453,0.538365555221001,0.310843599788546,7.0123,3134.3425,8014953.0,13097494.0,174319.0,31393.3561,975576.0,581269.0,224.0
2005,唐山市,河北省,130000,130200,17413204.0,726.0,714.514,13472,21694.816363,9807.348991,11887.467372,2361856.0,9643345.0,5408003.0,0.135635923176459,0.553794982244508,0.310569094579033,7.8463,2288.685,8349357.0,15792903.0,208213.0,29727.1443,1277866.0,776137.0,269.0
2006,唐山市,河北省,130000,130200,19747534.0,733.0239,719.1215,13472,27617.344484,15722.541986,11894.802498,2293881.0,11234329.0,6219324.0,0.116160377290653,0.568897817823734,0.314941804885613,8.076,2811.683,10384457.0,18876841.0,233849.0,31613.2572,1515404.0,933758.0,296.0
2007,唐山市,河北省,130000,130200,24068419.0,738.91,724.6557,13472,39493.42708,21480.99584,18012.43124,2869574.0,13436536.0,7762309.0,0.119225695713541,0.55826417181785,0.32251013246861,8.6126,3471.529,12569167.0,22464118.0,358997.0,29494.0,1929440.0,1192081.0,351.0
2008,唐山市,河北省,130000,130200,29809710.0,743.25,729.41,13472,63891.377999,34330.115457,29561.262542,3400078.0,17183327.0,9226305.0,0.114059412184822,0.576433886810707,0.309506701004471,9.0954,3826.884,15540942.0,28968554.0,465656.0,39038.0,2570426.0,1492670.0,544.0
2009,唐山市,河北省,130000,130200,31687575.0,746.79,733.8997,13472,41642.11755,13105.68336,28536.43419,3601792.0,17693627.0,10392156.0,0.113665750692503,0.558377439737815,0.327956809569681,9.5267,4516.851,21973485.0,36578537.0,513967.0,38572.0,2857675.0,1697161.0,474.0
2010,唐山市,河北省,130000,130200,36340965.0,758.24,735.0045,13472,63558.497025,19794.55956,43763.937465,4218733.0,20340601.0,11781631.0,0.116087533723994,0.559715489118134,0.324196977157871,10.1213,5455.639,27161068.0,41882483.0,602372.0,47728.0,3324335.0,1958419.0,501.0
2011,唐山市,河北省,130000,130200,43528431.0,761.0122,737.0677,13472,70163.429924,25138.29548,45025.134444,4252695.0,25637729.0,13638007.0,0.0976992485669883,0.588988125944627,0.313312625488385,10.9987,5233.645,30884877.0,47483236.0,783039.0,61956.0,4416812.0,2555624.0,844.0
2012,唐山市,河北省,130000,130200,47159004.0,762.3077,741.7826,13472,66170.52875,27258.953125,38911.575625,4495705.0,27500279.0,15163020.0,0.0953307877324975,0.583139520927965,0.321529691339537,11.1908,5719.603,35272093.0,54374618.0,975527.0,105895.0,4903141.0,3010936.0,848.0
2013,唐山市,河北省,130000,130200,49365981.0,763.3617,747.4038,13742,78469.3923,34756.671924,43712.720376,4595875.0,28604482.0,16165624.0,0.0930980182486397,0.579437122904536,0.327464858846824,11.1758,5346.979,39637353.0,61236216.0,972513.0,90477.0,4971792.0,3184152.0,805.0
2014,唐山市,河北省,130000,130200,50855503.0,766.7201,753.1564,13472,102966.473592,53902.640004,49063.833588,4542311.0,29114089.0,17199103.0,0.0893179839357798,0.572486501608292,0.338195514455928,11.0646,5530.0,42785559.0,67668536.0,1089918.0,81583.0,5246569.0,3237498.0,734.0
2015,唐山市,河北省,130000,130200,51177949.0,767.4554,754.957,13472,86655.10636,53079.234492,33575.871868,4475315.0,28896113.0,17806521.0,0.0874461577192161,0.564620379765512,0.347933462515272,11.1421,4917.0,47794427.0,74568073.0,1232266.0,64203.0,5922620.0,3349797.0,891.0
2016,唐山市,河北省,130000,130200,56024580.0,768.3996,759.6341,13472,71241.058728,47221.040622,24020.018106,4595018.0,30506261.0,20923301.0,0.082017892860598,0.544515657234735,0.373466449904667,11.5879,4755.0,49749952.0,82798680.0,1167144.0,85842.0,6425412.0,3550699.0,955.0
